inversiones,time_merge,time_quick
7448461,1.271,0.569
7398472,1.279,0.607
7348483,1.281,0.588
7298494,1.27,0.61
7248505,1.252,0.578
7198516,1.277,0.587
7148527,1.262,0.583
7098538,1.278,0.578
7048549,1.28,0.576
6998560,1.284,0.581
6948571,1.288,0.596
6898582,1.294,0.58
6848593,1.275,0.577
6798604,1.289,0.58
6748615,1.27,0.586
6698626,1.277,0.58
6648637,1.268,0.574
6598648,1.281,0.586
6548659,1.281,0.573
6498670,1.278,0.574
6448681,1.295,0.567
6398692,1.284,0.62
6348703,1.285,0.587
6298714,1.274,0.598
6248725,1.267,0.588
6198736,1.292,0.586
6148747,1.274,0.584
6098758,1.285,0.583
6048769,1.285,0.588
5998780,1.299,0.579
5948791,1.288,0.588
5898802,1.275,0.583
5848813,1.281,0.583
5798824,1.304,0.593
5748835,1.281,0.583
5698846,1.291,0.572
5648857,1.304,0.581
5598868,1.3,0.571
5548879,1.292,0.57
5498890,1.286,0.58
5448901,1.282,0.576
5398912,1.296,0.583
5348923,1.3,0.577
5298934,1.284,0.582
5248945,1.277,0.566
5198956,1.286,0.597
5148967,1.32,0.573
5098978,1.287,0.58
5048989,1.304,0.577
4999000,1.289,0.575
