inversiones,time_merge,time_quick
12372525,1.13,21.748
12247550,1.151,19.923
12122575,1.133,17.86
11997600,1.143,16.462
11872625,1.155,15.378
11747650,1.18,14.241
11622675,1.184,13.011
11497700,1.165,12.225
11372725,1.201,11.438
11247750,1.192,10.668
11122775,1.199,9.695
10997800,1.2,8.734
10872825,1.18,8.176
10747850,1.191,7.867
10622875,1.217,7.199
10497900,1.202,6.502
10372925,1.219,5.876
10247950,1.207,5.627
10122975,1.209,4.858
9998000,1.211,4.532
9873025,1.19,4.093
9748050,1.213,3.837
9623075,1.217,3.409
9498100,1.229,3.175
9373125,1.21,2.833
9248150,1.22,2.319
9123175,1.215,2.235
8998200,1.215,1.886
8873225,1.225,1.708
8748250,1.235,1.543
8623275,1.234,1.399
8498300,1.218,1.128
8373325,1.23,1.048
8248350,1.24,0.952
8123375,1.228,0.807
7998400,1.233,0.774
7873425,1.245,0.719
7748450,1.27,0.649
7623475,1.258,0.594
7498500,1.221,0.598
7373525,1.305,0.614
7248550,1.249,0.571
7123575,1.269,0.607
6998600,1.248,0.575
6873625,1.266,0.578
6748650,1.252,0.578
6623675,1.267,0.578
6498700,1.269,0.581
6373725,1.254,0.602
6248750,1.258,0.597
6123775,1.255,0.587
5998800,1.259,0.578
5873825,1.271,0.588
5748850,1.286,0.592
5623875,1.278,0.576
5498900,1.297,0.576
5373925,1.291,0.581
5248950,1.287,0.588
5123975,1.283,0.584
4999000,1.277,0.58
4874025,1.292,0.57
4749050,1.281,0.568
4624075,1.291,0.565
4499100,1.296,0.566
4374125,1.273,0.575
4249150,1.279,0.576
4124175,1.28,0.582
3999200,1.292,0.583
3874225,1.282,0.579
3749250,1.288,0.572
3624275,1.296,0.57
3499300,1.289,0.568
3374325,1.32,0.566
3249350,1.301,0.581
3124375,1.308,0.565
2999400,1.293,0.602
2874425,1.294,0.581
2749450,1.302,0.562
2624475,1.329,0.562
2499500,1.303,0.563
2374525,1.297,0.558
2249550,1.308,0.567
2124575,1.309,0.563
1999600,1.3,0.556
1874625,1.321,0.566
1749650,1.321,0.57
1624675,1.327,0.558
1499700,1.305,0.564
1374725,1.304,0.573
1249750,1.319,0.549
1124775,1.313,0.586
999800,1.305,0.562
874825,1.31,0.582
749850,1.309,0.557
624875,1.307,0.608
499900,1.301,0.587
374925,1.288,0.634
249950,1.298,0.75
124975,1.278,1.134
0,1.074,23.427
