inversiones,time_merge,time_quick
6186262,1.271,0.588
6123775,1.287,0.58
6061287,1.275,0.591
5998800,1.262,0.582
5936312,1.261,0.571
5873825,1.293,0.593
5811337,1.279,0.573
5748850,1.287,0.572
5686362,1.278,0.569
5623875,1.316,0.571
5561387,1.314,0.578
5498900,1.29,0.574
5436412,1.276,0.578
5373925,1.288,0.571
5311437,1.282,0.594
5248950,1.298,0.577
5186462,1.289,0.579
5123975,1.287,0.576
5061487,1.31,0.581
4999000,1.29,0.585
4936512,1.287,0.566
4874025,1.377,0.64
4811537,1.307,0.583
4749050,1.311,0.561
4686562,1.311,0.562
4624075,1.335,0.586
4561587,1.312,0.579
4499100,1.304,0.567
4436612,1.327,0.565
4374125,1.303,0.575
4311637,1.316,0.588
4249150,1.288,0.573
4186662,1.296,0.58
4124175,1.305,0.58
4061687,1.312,0.571
3999200,1.304,0.59
3936712,1.33,0.57
3874225,1.313,0.565
3811737,1.321,0.567
3749250,1.332,0.575
3686762,1.315,0.571
3624275,1.324,0.565
3561787,1.324,0.573
3499300,1.304,0.574
3436812,1.322,0.559
3374325,1.325,0.594
3311837,1.308,0.561
3249350,1.322,0.566
3186862,1.324,0.572
3124375,1.323,0.575
3061887,1.295,0.57
2999400,1.31,0.569
2936912,1.339,0.562
2874425,1.316,0.571
2811937,1.311,0.566
2749450,1.357,0.585
2686962,1.344,0.579
2624475,1.431,0.629
2561987,1.336,0.587
2499500,1.362,0.564
2437012,1.356,0.57
2374525,1.347,0.57
2312037,1.347,0.576
2249550,1.347,0.555
2187062,1.347,0.566
2124575,1.319,0.552
2062087,1.364,0.566
1999600,1.33,0.567
1937112,1.324,0.562
1874625,1.311,0.562
1812137,1.345,0.571
1749650,1.341,0.559
1687162,1.346,0.563
1624675,1.328,0.564
1562187,1.325,0.562
1499700,1.354,0.563
1437212,1.371,0.563
1374725,1.341,0.576
1312237,1.36,0.571
1249750,1.359,0.58
1187262,1.334,0.562
1124775,1.342,0.581
1062287,1.368,0.563
999800,1.337,0.555
937312,1.327,0.569
874825,1.361,0.614
812337,1.344,0.611
749850,1.337,0.574
687362,1.338,0.603
624875,1.329,0.612
562387,1.362,0.597
499900,1.318,0.582
437412,1.362,0.632
374925,1.326,0.682
312437,1.305,0.718
249950,1.321,0.803
187462,1.408,0.844
124975,1.295,1.064
62487,1.28,1.964
0,1.087,24.639
